Otu102,Rh-104
Otu103,Rh-105
Otu104,Rh-108-rep2
Otu105,Rh-110
Otu106,Rh-116b
Otu107,Rh-117
Otu108,Rh-118
Otu109,Rh-122
Otu110,Rh-149-01
Otu111,Rh-161-rep2
Otu112,Rh-164
Otu113,Rh-175
Otu114,Rh-178
Otu115,Rh-184
Otu116,Rh-192
Otu117,Rh-42
Otu118,Rh-428
Otu119,Rh-45
Otu120,Rh-62
Otu121,Rh-65
Otu122,Rh-7
Otu123,Rh-79
Otu124,Rh-86
Otu125,Rh-102
Otu126,Rh-108
Otu127,Rh-109
Otu128,Rh-173
Otu129,Rh-115
Otu130,Rh-50
Otu131,Rh-136
Otu132,Rh-139
Otu133,Rh-195
Otu134,Rh-311
Otu135,Rh-319-4
Otu136,Rh-322
Otu137,Rh-326
Otu138,Rh-330-rep2
Otu139,Rh-331
Otu140,Rh-346
Otu141,Rh-350
Otu142,Rh-362
Otu143,Rh-369
Otu144,Rh-370
Otu145,Rh-378
Otu146,Rh-382
Otu147,Rh-384
Otu148,Rh-393
Otu149,Rh-4
Otu150,Rh-41
Otu151,Rh-414
